PLG 24 2ND LEVEL, 37.594978, 82.735021
PLG 24 2ND LEVEL, 37.594837, 82.734774
PLG 24 2ND LEVEL, 37.594949, 82.734971
WIDE GAGE, 37.594968, 82.735004
WIDE GAGE, 37.594968, 82.735004
ALIGNMENT LEFT, 39.962671, 83.012309
ALIGNMENT RIGHT, 39.962713, 83.012324
LOADED GAGE, 37.594859, 82.734814
LOADED GAGE, 37.594903, 82.734893
PLG 24 2ND LEVEL, 37.594907, 82.734898
RIGHT RAIL CANT, 37.59496, 82.73474
ALIGNMENT LEFT, 39.962532, 83.012264
WARP 31FT, 39.962792, 83.012352
PROFILE RIGHT 62FT, 38.378146, 82.600434
PROFILE RIGHT 62FT, 38.378146, 82.600434
WARP 31FT, 38.378613, 82.600453
LEFT RAIL CANT, 37.29356, 82.330288
RIGHT RAIL CANT, 37.293594, 82.330322
LEFT RAIL CANT, 37.293617, 82.330358
LEFT RAIL CANT, 37.293495, 82.330137
RIGHT RAIL CANT, 37.293602, 82.330038
CROSSLEVEL, 38.376796, 82.600204
CROSSLEVEL, 38.376796, 82.600204
WARP 31FT, 38.376754, 82.600196
WARP 31FT, 38.37686, 82.600229
LEFT RAIL CANT, 37.293556, 82.329988
LEFT RAIL CANT, 37.293308, 82.329756
RIGHT RAIL CANT, 37.293573, 82.329725
CROSSLEVEL, 38.376577, 82.600181
CROSSLEVEL, 38.376689, 82.600187
CROSSLEVEL, 38.376616, 82.600178
CROSSLEVEL, 38.376616, 82.600178
WARP 31FT, 38.376716, 82.600201
WARP 31FT, 38.376749, 82.600202
WARP 31FT, 38.376635, 82.600185
WARP 31FT, 38.376652, 82.600182
WARP 31FT, 38.376657, 82.600183
WARP 31FT, 38.376628, 82.600184
WARP 31FT, 38.376534, 82.600174
WARP 62FT, 38.376749, 82.600197
CROSSLEVEL, 38.376611, 82.600175
CROSSLEVEL, 38.376658, 82.600199
WARP 31FT, 38.376702, 82.600206
WARP 31FT, 38.376702, 82.600206
WARP 31FT, 38.376695, 82.60019
WARP 31FT, 38.376607, 82.60019
WARP 31FT, 38.376607, 82.60019
WARP 31FT, 38.37664, 82.600172
WARP 31FT, 38.37664, 82.600172
WARP 31FT, 38.376567, 82.600169
WARP 31FT, 38.376618, 82.600192
WARP 31FT, 38.376618, 82.600192
WARP 31FT, 38.376567, 82.600166
WARP 31FT, 38.376567, 82.600166
WARP 62FT, 38.376529, 82.600161
WARP 62FT, 38.376529, 82.600161
WARP 31FT, 38.376608, 82.600178
WARP 31FT, 38.376608, 82.600178
WARP 31FT, 38.376614, 82.600178
WARP 31FT, 38.376614, 82.600178
WARP 62FT, 38.376574, 82.600185
WARP 62FT, 38.376574, 82.600185
LEFT RAIL CANT, 37.595464, 82.735718
RIGHT RAIL CANT, 37.595456, 82.735709
CROSSLEVEL, 38.376518, 82.60014
CROSSLEVEL, 38.376518, 82.60014
WARP 31FT, 38.376475, 82.600133
WARP 31FT, 38.376475, 82.600133
ALIGNMENT LEFT, 37.29365, 82.328618
RIGHT RAIL CANT, 37.293615, 82.328888
RIGHT RAIL CANT, 37.293605, 82.328935
WARP 31FT, 37.293662, 82.328582
CROSSLEVEL, 38.376029, 82.600133
WARP 62FT, 38.37592, 82.600083
WARP 62FT, 38.37592, 82.600083
RIGHT RAIL CANT, 37.293624, 82.328848
RIGHT RAIL CANT, 37.293514, 82.328738
RIGHT RAIL CANT, 37.29362, 82.328868
WARP 31FT, 37.152544, 81.987157
CROSSLEVEL, 38.376025, 82.60013
CROSSLEVEL, 38.376025, 82.60013
CROSSLEVEL, 38.375826, 82.600099
CROSSLEVEL, 38.375513, 82.600012
CROSSLEVEL, 38.375845, 82.600099
CROSSLEVEL, 38.375845, 82.600099
WARP 31FT, 38.375502, 82.600041
WARP 31FT, 38.375502, 82.600041
WARP 62FT, 38.37602, 82.600129
WARP 62FT, 38.37602, 82.600129
WARP 62FT, 38.375964, 82.600119
WARP 62FT, 38.375964, 82.600119
WARP 62FT, 38.375835, 82.600026
WARP 62FT, 38.375835, 82.600026
CROSSLEVEL, 38.375643, 82.600052
CROSSLEVEL, 38.375643, 82.600052
WARP 62FT, 38.375559, 82.600039
PROFILE LEFT 62FT, 37.409605, 82.506656
WARP 31FT, 37.409505, 82.506637
WARP 31FT, 37.409502, 82.50664
WARP 31FT, 37.409502, 82.50664
ALIGNMENT LEFT, 37.592931, 82.730171
ALIGNMENT LEFT, 37.59292, 82.730171
ALIGNMENT RIGHT, 37.59292, 82.730171
LEFT RAIL CANT, 37.293136, 82.326724
RIGHT RAIL CANT, 37.293213, 82.32659
LEFT RAIL CANT, 37.293658, 82.326613
WIDE GAGE, 37.293663, 82.326653
LOADED GAGE, 37.591447, 82.730261
LOADED GAGE, 37.591401, 82.730284
PLG 24 2ND LEVEL, 37.591401, 82.730284
CROSSLEVEL, 38.375312, 82.582178
WARP 62FT, 38.375225, 82.582176
ALIGNMENT LEFT, 37.407014, 82.508675
ALIGNMENT RIGHT, 37.407016, 82.508661
LEFT RAIL CANT, 37.29701, 82.322621
RIGHT RAIL CANT, 37.296912, 82.322977
LEFT RAIL CANT, 37.297773, 82.322015
RIGHT RAIL CANT, 37.297993, 82.321714
LEFT RAIL CANT, 37.298206, 82.321334
RIGHT RAIL CANT, 37.298057, 82.321582
RIGHT RAIL CANT, 37.298057, 82.321582
LEFT RAIL CANT, 37.298978, 82.319585
WIDE GAGE, 37.298917, 82.319742
LEFT RAIL CANT, 39.940478, 82.9985
RIGHT RAIL CANT, 39.940424, 82.998492
RIGHT RAIL CANT, 39.941309, 82.998516
LEFT RAIL CANT, 37.299012, 82.319347
LEFT RAIL CANT, 37.298989, 82.319622
LEFT RAIL CANT, 37.298965, 82.319651
LEFT RAIL CANT, 37.298915, 82.319606
RIGHT RAIL CANT, 37.298915, 82.319606
RIGHT RAIL CANT, 37.298879, 82.319911
RIGHT RAIL CANT, 37.298879, 82.319911
WIDE GAGE, 37.298892, 82.31979
WIDE GAGE, 37.298892, 82.31979
ALIGNMENT LEFT, 39.940442, 82.998431
ALIGNMENT LEFT, 39.940442, 82.998431
ALIGNMENT RIGHT, 39.940442, 82.998431
ALIGNMENT RIGHT, 39.940442, 82.998431
LEFT RAIL CANT, 37.298753, 82.318255
LEFT RAIL CANT, 37.291963, 82.315954
RIGHT RAIL CANT, 37.291963, 82.315954
LEFT RAIL CANT, 37.298601, 82.317993
RIGHT RAIL CANT, 37.298573, 82.318023
LEFT RAIL CANT, 37.298621, 82.317989
LEFT RAIL CANT, 37.298329, 82.317771
RIGHT RAIL CANT, 37.2986, 82.31795
RIGHT RAIL CANT, 37.2986, 82.31795
LEFT RAIL CANT, 37.297912, 82.31737
LEFT RAIL CANT, 37.29804, 82.31741
RIGHT RAIL CANT, 37.297928, 82.317354
ALIGNMENT LEFT, 37.405511, 82.518159
ALIGNMENT RIGHT, 37.405515, 82.518156
LEFT RAIL CANT, 37.294996, 82.315125
RIGHT RAIL CANT, 37.290837, 82.314111
WARP 31FT, 37.292491, 82.314766
WARP 62FT, 37.292138, 82.315944
CLIM, 37.578899, 82.74058
CLIM, 37.578877, 82.740666
WARP 31FT, 37.578881, 82.740653
CLIM, 37.578854, 82.740758
PROFILE LEFT 62FT, 37.578829, 82.740864
WARP 31FT, 37.578826, 82.740878
WARP 31FT, 37.578826, 82.740878
CLIM, 37.578704, 82.74148
CLIM, 37.578729, 82.741339
WIDE GAGE, 37.578722, 82.741379
WIDE GAGE, 37.578722, 82.741379
PROFILE LEFT 62FT, 38.774567, 82.863599
PROFILE RIGHT 62FT, 38.77457, 82.863594
LEFT RAIL CANT, 37.287413, 82.308365
RIGHT RAIL CANT, 37.286243, 82.311101
RIGHT RAIL CANT, 37.286324, 82.311144
WARP 31FT, 37.153668, 82.015128
LEFT RAIL CANT, 37.286941, 82.307872
LEFT RAIL CANT, 37.286902, 82.307834
RIGHT RAIL CANT, 37.282056, 82.31311
ALIGNMENT, 40.014365, 83.034049
WARP 31FT, 40.014332, 83.034042
WARP 31FT, 40.014608, 83.034099
RIGHT RAIL CANT, 39.924483, 82.998078
WARP 31FT, 40.014893, 83.034176
LEFT RAIL CANT, 39.92414, 82.997958
RIGHT RAIL CANT, 39.924057, 82.997924
ALIGNMENT, 40.014192, 83.034011
WARP 31FT, 40.014562, 83.034088
LEFT RAIL CANT, 39.923778, 82.997793
ALIGNMENT, 40.014208, 83.034014
LEFT RAIL CANT, 39.923647, 82.997719
RIGHT RAIL CANT, 39.923561, 82.99767
RIGHT RAIL CANT, 39.923653, 82.997724
LEFT RAIL CANT, 39.92286, 82.997204
LEFT RAIL CANT, 39.922842, 82.997187
RIGHT RAIL CANT, 39.92286, 82.997204
RIGHT RAIL CANT, 39.922936, 82.997268
PROFILE LEFT 62FT, 38.781384, 82.855889
PROFILE RIGHT 62FT, 38.781384, 82.855889
PROFILE RIGHT 62FT, 38.781384, 82.855889
LEFT RAIL CANT, 37.280936, 82.30679
LEFT RAIL CANT, 37.281042, 82.306835
RIGHT RAIL CANT, 37.282394, 82.302818
RIGHT RAIL CANT, 37.282391, 82.302813
LEFT RAIL CANT, 37.280826, 82.306535
LEFT RAIL CANT, 37.281267, 82.306118
RIGHT RAIL CANT, 37.282289, 82.302642
RIGHT RAIL CANT, 37.279173, 82.311107
LEFT RAIL CANT, 37.280574, 82.305649
LEFT RAIL CANT, 37.283651, 82.29644
RIGHT RAIL CANT, 37.28181, 82.301744
ALIGNMENT LEFT, 38.344225, 82.597912
ALIGNMENT LEFT, 38.343756, 82.597618
ALIGNMENT LEFT, 38.343756, 82.597618
ALIGNMENT RIGHT, 38.344215, 82.597905
ALIGNMENT LEFT, 38.343646, 82.597504
ALIGNMENT LEFT, 38.343671, 82.597531
ALIGNMENT RIGHT, 38.343646, 82.597504
ALIGNMENT RIGHT, 38.343663, 82.597522
ALIGNMENT LEFT, 37.572181, 82.755605
ALIGNMENT RIGHT, 37.572181, 82.755605
LEFT RAIL CANT, 37.562107, 82.523288
RIGHT RAIL CANT, 37.562062, 82.523299
RIGHT RAIL CANT, 37.56203, 82.523325
RIGHT RAIL CANT, 37.562085, 82.523295
RIGHT RAIL CANT, 37.562112, 82.523287
RIGHT RAIL CANT, 37.562112, 82.523287
RIGHT RAIL CANT, 37.562085, 82.523295
LEFT RAIL CANT, 37.280375, 82.304884
LEFT RAIL CANT, 37.280385, 82.304932
RIGHT RAIL CANT, 37.277765, 82.311495
ALIGNMENT LEFT, 37.572181, 82.755605
ALIGNMENT RIGHT, 37.572181, 82.755605
RIGHT RAIL CANT, 37.56218, 82.523232
RIGHT RAIL CANT, 37.562195, 82.523223
WIDE GAGE, 37.562188, 82.523249
WIDE GAGE, 37.562188, 82.523249
LEFT RAIL CANT, 37.283039, 82.296556
RIGHT RAIL CANT, 37.281423, 82.300936
ALIGNMENT LEFT, 37.39095, 82.530365
ALIGNMENT RIGHT, 37.39095, 82.530365
WARP 31FT, 37.390863, 82.530224
LEFT RAIL CANT, 37.279477, 82.297055
LEFT RAIL CANT, 37.279558, 82.297036
RIGHT RAIL CANT, 37.279504, 82.297048
RIGHT RAIL CANT, 37.279472, 82.297056
RIGHT RAIL CANT, 37.279472, 82.297056
RIGHT RAIL CANT, 37.279504, 82.297048
LEFT RAIL CANT, 37.279418, 82.29707
LEFT RAIL CANT, 37.279681, 82.297104
RIGHT RAIL CANT, 37.27979, 82.298783
LEFT RAIL CANT, 37.279513, 82.296832
LEFT RAIL CANT, 37.277242, 82.297917
RIGHT RAIL CANT, 37.279047, 82.297189
LEFT RAIL CANT, 37.279312, 82.299756
