,DIVISION,SUBDIVISION,PREFIX,MILEPOST,TRACK TYPE,TRACK CODE,SIDE,DEFECT TYPE,SIZE,DATE FOUND,CAR NAME,PREPARED BY,CURVE-TANG,ROADMASTER,JOINT-WELD,ROLLED YEAR,MILL,WEIGHT,MGT,AGE,CUM MGT
16178,GL,COLUMBUS LINE,QE,83.0,SG,M,R,TW,20.0,01/31/2011,S978,SRS,L,160,,1952.0,UI,127.0,9.87,60.0,236.88
16179,GL,MOUNT VICTORY,QI,131.684,1,M,R,TW,20.0,01/26/2012,S955,SRS,L,159,,1989.0,BS,132.0,27.97,24.0,510.1728
16180,GL,NEW CASTLE,BG,61.13,2,M,R,TW,15.0,01/26/2011,S955,SRS,L,G80,,1953.0,UC,140.0,32.47,59.0,785.4493
16181,GL,NEW CASTLE,BG,83.14,2,M,L,TW,15.0,01/25/2011,S955,SRS,L,G80,,1988.0,AL,132.0,32.47,24.0,592.2528
16182,GL,ST LOUIS LINE,QS,179.445,SG,M,R,EFBW,10.0,01/24/2012,D024,DPS,L,166,,1970.0,UI,140.0,35.7,43.0,875.007
16183,GL,ERIE WEST,QD,104.1,2,M,L,EFBW,,01/24/2011,SERV,V4655,L,260, ,1993.0,,136.0,56.0,19.0,861.84
16184,GL,GARRETT EAST,BI,92.23,1,M,R,CH,,01/23/2011,SERV,U4287,L,G65, ,1975.0,BL,122.0,57.15,37.0,1332.1665
16185,GL,NEW CASTLE,BG,113.77,2,M,R,EFBW,65.0,01/18/2011,S955,SRS,L,G80,,1957.0,BS,140.0,32.47,55.0,803.6325
16186,GL,NEW CASTLE,BG,106.82,2,M,R,FH,8.0,01/18/2011,S955,SRS,L,G80,,1966.0,BL,132.0,32.47,46.0,806.5548
16187,GL,NEW CASTLE,BG,113.73,2,M,R,TW,20.0,01/18/2011,S955,SRS,L,G80,,1954.0,UC,140.0,32.47,58.0,790.9692
16188,GL,NEW CASTLE,BG,118.54,2,M,R,FH,8.0,01/17/2011,S955,SRS,L,G80,,1957.0,UI,140.0,32.47,55.0,803.6325
16189,GL,ERIE WEST,QD,142.5,1,M,R,TW,10.0,01/17/2011,S956,SRS,L,260,,1962.0,BL,136.0,46.93,50.0,1173.25
16190,GL,ERIE WEST,QD,142.55,1,M,R,TW,100.0,01/17/2011,S956,SRS,L,260,,1962.0,BL,136.0,46.93,50.0,1173.25
