,LATITUDE,LONGITUDE,EXCEPTION TYPE
774,37.375463,82.541268,ALIGNMENT RIGHT
775,37.375463,82.541268,ALIGNMENT RIGHT
776,37.375469,82.541269,ALIGNMENT RIGHT
777,37.375469,82.541269,ALIGNMENT RIGHT
778,37.375362,82.541256,ALIGNMENT LEFT
779,37.375362,82.541256,ALIGNMENT LEFT
780,37.375367,82.541256,ALIGNMENT RIGHT
781,37.375367,82.541256,ALIGNMENT RIGHT
782,37.37525,82.541253,ALIGNMENT LEFT
783,37.37525,82.541253,ALIGNMENT LEFT
784,37.37525,82.541253,ALIGNMENT RIGHT
785,37.373881,82.542019,ALIGNMENT LEFT
786,37.373881,82.542019,ALIGNMENT LEFT
787,37.373874,82.542029,ALIGNMENT LEFT
788,37.373874,82.542029,ALIGNMENT LEFT
789,37.37376,82.54155,ALIGNMENT LEFT
790,37.373881,82.542019,ALIGNMENT RIGHT
791,37.373881,82.542019,ALIGNMENT RIGHT
792,37.373874,82.542029,ALIGNMENT RIGHT
793,37.373874,82.542029,ALIGNMENT RIGHT
794,37.373755,82.541552,ALIGNMENT RIGHT
795,37.373866,82.541514,WARP 31FT
796,37.373953,82.539814,WARP 31FT
797,37.373953,82.539814,WARP 31FT
798,37.373863,82.542036,ALIGNMENT LEFT
799,37.373713,82.541569,ALIGNMENT LEFT
800,37.373815,82.539855,ALIGNMENT LEFT
801,37.373718,82.541567,ALIGNMENT LEFT
802,37.373718,82.541567,ALIGNMENT LEFT
803,37.373863,82.542036,ALIGNMENT RIGHT
804,37.373713,82.541569,ALIGNMENT RIGHT
805,37.373815,82.539855,ALIGNMENT RIGHT
806,37.373815,82.539855,ALIGNMENT RIGHT
807,37.373718,82.541567,ALIGNMENT RIGHT
808,37.373718,82.541567,ALIGNMENT RIGHT
809,37.262373,82.323763,LEFT RAIL CANT
810,37.262379,82.3237,LEFT RAIL CANT
811,37.262387,82.323627,LEFT RAIL CANT
812,37.262372,82.323893,RIGHT RAIL CANT
813,37.262354,82.323875,LEFT RAIL CANT
814,37.262346,82.324035,RIGHT RAIL CANT
815,37.262339,82.324003,RIGHT RAIL CANT
816,37.262363,82.323926,RIGHT RAIL CANT
817,37.262252,82.324297,LEFT RAIL CANT
818,37.262205,82.324398,LEFT RAIL CANT
819,37.262262,82.324273,RIGHT RAIL CANT
820,37.262249,82.324303,RIGHT RAIL CANT
821,37.262224,82.324357,RIGHT RAIL CANT
822,37.262199,82.32441,RIGHT RAIL CANT
823,37.262185,82.324439,RIGHT RAIL CANT
824,37.262219,82.324378,LEFT RAIL CANT
825,37.262171,82.324469,RIGHT RAIL CANT
826,37.262141,82.324552,LEFT RAIL CANT
827,37.262048,82.324737,LEFT RAIL CANT
828,37.262125,82.324599,RIGHT RAIL CANT
829,37.553701,82.773378,CROSSLEVEL
830,37.55221,82.773412,GWR 2ND LEVEL
831,37.552194,82.773416,GWR 2ND LEVEL
832,37.552024,82.773579,RIGHT RAIL CANT
833,37.551901,82.773507,GWR 2ND LEVEL
834,37.551949,82.77349,GWR 2ND LEVEL
835,37.552001,82.773472,GWR 2ND LEVEL
836,37.551866,82.773484,LEFT RAIL CANT
837,37.551949,82.77349,PLG 24 2ND LEVEL
838,37.551901,82.773507,PLG 24 2ND LEVEL
839,37.552001,82.773472,PLG 24 2ND LEVEL
840,37.551722,82.773919,ALIGNMENT LEFT
841,37.551715,82.773929,ALIGNMENT RIGHT
842,37.55187,82.773519,GWR 1ST LEVEL
843,37.551838,82.773531,GWR 1ST LEVEL
844,37.551838,82.773531,GWR 1ST LEVEL
845,37.551796,82.773548,GWR 1ST LEVEL
846,37.551875,82.773517,GWR 2ND LEVEL
847,37.55187,82.773519,GWR 2ND LEVEL
848,37.551838,82.773531,GWR 2ND LEVEL
849,37.551796,82.773548,GWR 2ND LEVEL
850,37.551781,82.773513,LEFT RAIL CANT
851,37.551875,82.773517,LOADED GAGE
852,37.551838,82.773531,LOADED GAGE
853,37.551833,82.773533,LOADED GAGE
854,37.551864,82.773521,LOADED GAGE
855,37.551791,82.77355,LOADED GAGE
856,37.551791,82.77355,LOADED GAGE
857,37.551791,82.77355,PLG 24 1ST LEVEL
858,37.551875,82.773517,PLG 24 2ND LEVEL
859,37.55187,82.773519,PLG 24 2ND LEVEL
860,37.551612,82.774053,ALIGNMENT LEFT
861,37.551612,82.774053,ALIGNMENT LEFT
862,37.551612,82.774053,ALIGNMENT RIGHT
863,37.551612,82.774053,ALIGNMENT RIGHT
864,37.551713,82.773584,GWR 2ND LEVEL
865,37.551688,82.773595,GWR 2ND LEVEL
866,37.551561,82.773598,LEFT RAIL CANT
867,37.551688,82.773595,PLG 24 2ND LEVEL
868,37.551713,82.773584,PLG 24 2ND LEVEL
869,37.549955,82.774295,LEFT RAIL CANT
870,37.550546,82.775312,RIGHT RAIL CANT
871,37.550377,82.775471,GWR 2ND LEVEL
872,37.550334,82.770042,LEFT RAIL CANT
873,37.550377,82.775471,LOADED GAGE
874,37.550377,82.775471,LOADED GAGE
875,37.598229,82.52031,LEFT RAIL CANT
876,37.598199,82.520324,LEFT RAIL CANT
877,37.598278,82.520313,RIGHT RAIL CANT
878,37.368782,82.549464,PROFILE LEFT 62FT
879,37.368782,82.549464,PROFILE RIGHT 62FT
880,37.36877,82.54948,PROFILE RIGHT 62FT
881,37.368837,82.54942,WARP 31FT
882,37.376645,82.543075,ALIGNMENT LEFT
883,37.376645,82.543075,ALIGNMENT RIGHT
884,38.308808,82.578502,PROFILE RIGHT 62FT
885,38.308839,82.578491,WARP 62FT
886,38.308864,82.578543,PROFILE LEFT 62FT
